s0,s1,a0,terminal_flag
-0.6,22.6,-11.0,not done
-0.4,19.5,0.0,not done
-0.1,14.0,5.0,not done
-0.1,10.2,6.0,not done
-0.0,6.6,6.0,not done
0.0,4.4,6.0,not done
0.1,3.0,6.0,not done
0.0,6.0,7.0,not done
0.1,4.0,9.0,not done
0.2,-5.6,5.0,not done
0.2,-15.2,-5.0,not done
0.1,-25.1,-21.0,not done
-0.1,-25.8,-30.0,not done
-0.3,-25.7,-40.0,not done
-0.4,-29.7,-51.0,not done
-0.6,-29.6,-60.0,not done
-0.7,-27.8,-67.0,not done
-0.8,-2.3,-46.0,not done
-0.5,25.8,-3.0,not done
-0.4,16.9,-5.0,not done
-0.3,10.2,-6.0,not done
-0.2,6.4,-5.0,not done
-0.1,2.1,-5.0,not done
-0.1,1.3,-4.0,not done
-0.1,-1.1,-7.0,not done
-0.1,-4.2,-9.0,not done
-0.1,-6.7,-13.0,not done
-0.2,-9.7,-19.0,not done
-0.2,-9.8,-22.0,not done
-0.3,-12.4,-26.0,not done
-0.3,-15.9,-33.0,not done
-0.4,-19.6,-40.0,not done
-0.5,-11.0,-40.0,not done
-0.5,8.3,-16.0,not done
-0.4,5.6,-18.0,not done
-0.4,3.2,-21.0,not done
-0.4,0.8,-23.0,not done
-0.4,-2.1,-26.0,not done
-0.4,1.8,-21.0,not done
-0.4,5.9,-14.0,not done
-0.3,4.9,-12.0,not done
-0.3,4.3,-11.0,not done
-0.3,2.7,-11.0,not done
-0.2,-1.1,-14.0,not done
-0.2,-0.6,-12.0,not done
-0.2,-2.0,-11.0,not done
-0.2,-4.6,-14.0,not done
-0.2,-7.8,-20.0,not done
-0.3,-6.6,-21.0,not done
-0.3,-5.6,-21.0,not done
-0.3,-3.4,-19.0,not done
-0.3,-1.4,-15.0,not done
-0.2,-3.7,-17.0,not done
-0.3,-4.4,-18.0,not done
-0.2,-2.2,-15.0,not done
-0.2,-3.3,-15.0,not done
-0.2,-5.3,-17.0,not done
-0.3,-3.9,-17.0,not done
